trait	trait_uri	studies	association_counts	papers	Olga's comments
parental longevity, schizophrenia	http://www.ebi.ac.uk/efo/EFO_0007796, http://purl.obolibrary.org/obo/MONDO_0005090	1	0	1	
HER2 Positive Breast Carcinoma	http://www.ebi.ac.uk/efo/EFO_1000294	1	0	1	
osteoarthritis, hip, spine bone mineral density	http://www.ebi.ac.uk/efo/EFO_1000786, http://www.ebi.ac.uk/efo/EFO_0007701	1	0	1	
nervous system disease, psychiatric disorder, eye disease	http://www.ebi.ac.uk/efo/EFO_0000618, http://purl.obolibrary.org/obo/MONDO_0002025, http://www.ebi.ac.uk/efo/EFO_0003966	1	0	1	
Abnormality of limbs	http://purl.obolibrary.org/obo/HP_0040064	1	0	1	
skin carcinoma	http://www.ebi.ac.uk/efo/EFO_0009259	1	0	1	
Respiratory insufficiency	http://purl.obolibrary.org/obo/HP_0002093	1	0	1	
testicular dysgenesis syndrome	http://www.ebi.ac.uk/efo/EFO_0004893	1	0	1	
peripheral neuropathy, response to docetaxel, response to paclitaxel	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://purl.obolibrary.org/obo/GO_1901555	1	0	1	
ulceration of vulva	http://purl.obolibrary.org/obo/MONDO_0001551	1	0	1	
ulcerative colitis, Crohn's disease, inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0003767	1	0	1	
menopause, Atrophic Vaginitis	http://www.ebi.ac.uk/efo/EFO_0003922, http://www.ebi.ac.uk/efo/EFO_1001271	1	0	1	
cardia cancer	http://purl.obolibrary.org/obo/MONDO_0001063	1	0	1	
attention deficit hyperactivity disorder, hippocampal volume	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0005035	1	0	1	
response to calcineurin inhibitor, diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0010055, http://www.ebi.ac.uk/efo/EFO_0000400	1	0	1	
Dystonia	http://purl.obolibrary.org/obo/HP_0001332	1	0	1	
Alzheimer disease, body mass index	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0004340	1	0	1	
heart aneurysm	http://www.ebi.ac.uk/efo/EFO_1000959	1	0	1	
Major Salivary Gland Carcinoma	http://www.ebi.ac.uk/efo/EFO_1000344	1	0	1	
survival time, estrogen-receptor positive breast cancer, breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305	1	0	1	
disease free survival, response to antineoplastic agent	http://www.ebi.ac.uk/efo/EFO_0000409, http://purl.obolibrary.org/obo/GO_0097327	1	0	1	
Abnormal nasolacrimal system morphology	http://purl.obolibrary.org/obo/HP_0000614	1	0	1	
respiratory system disease, allergic disease, Abnormal thrombosis	http://www.ebi.ac.uk/efo/EFO_0000684, http://purl.obolibrary.org/obo/MONDO_0005271, http://purl.obolibrary.org/obo/HP_0001977	1	0	1	
crus helix expression	http://www.ebi.ac.uk/efo/EFO_0007672	1	0	1	
response to carboplatin, overall survival, ovarian carcinoma, response to paclitaxel	http://purl.obolibrary.org/obo/GO_0097328, http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0001075, http://purl.obolibrary.org/obo/GO_1901555	1	0	1	
Mastoiditis	http://purl.obolibrary.org/obo/HP_0000265	1	0	1	
TP segment duration	http://www.ebi.ac.uk/efo/EFO_0011035	1	0	1	
severe cutaneous adverse reaction, response to phenytoin	http://www.ebi.ac.uk/efo/EFO_0006346, http://www.ebi.ac.uk/efo/EFO_0006345	1	0	1	
HIV mother to child transmission	http://www.ebi.ac.uk/efo/EFO_0004595	1	0	1	
estrogen-receptor negative breast cancer, survival time, breast carcinoma	http://www.ebi.ac.uk/efo/EFO_1000650, http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000305	1	0	1	
Hepatitis, Alcoholic	http://www.ebi.ac.uk/efo/EFO_1001345	1	0	1	
insomnia, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0004698, http://www.ebi.ac.uk/efo/EFO_0001645	1	0	1	
Benign Thyroid Gland Neoplasm	http://www.ebi.ac.uk/efo/EFO_1000122	1	0	1	
lung carcinoma, overall survival	http://www.ebi.ac.uk/efo/EFO_0001071, http://www.ebi.ac.uk/efo/EFO_0000638	1	0	1	
Mumps virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0009343	1	0	1	
response to reverse transcriptase inhibitor, drug hypersensitivity syndrome	http://purl.obolibrary.org/obo/GO_0061479, http://www.ebi.ac.uk/efo/EFO_1002004	1	0	1	
rheumatoid arthritis, schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000685, http://purl.obolibrary.org/obo/MONDO_0005090	1	0	1	
pancreatic neuroendocrine tumor	http://www.ebi.ac.uk/efo/EFO_1000045	1	0	1	
myocardial infarction, response to placebo	http://www.ebi.ac.uk/efo/EFO_0000612, http://www.ebi.ac.uk/efo/EFO_0008344	1	0	1	
conduct disorder, Oppositional defiant disorder	http://www.ebi.ac.uk/efo/EFO_0004216, http://purl.obolibrary.org/obo/HP_0010865	1	0	1	
viral meningitis	http://www.ebi.ac.uk/efo/EFO_1001236	1	0	1	
chronic hepatitis	http://www.ebi.ac.uk/efo/EFO_0008496	1	0	1	
BMI-adjusted hip bone size	http://www.ebi.ac.uk/efo/EFO_0008038	1	0	1	
mitral annular calcification	http://www.ebi.ac.uk/efo/EFO_0005262	1	0	1	
hip fracture, femur fracture	http://www.ebi.ac.uk/efo/EFO_0003964, http://www.ebi.ac.uk/efo/EFO_0008553	1	0	1	
response to beta blocker, cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0007766, http://www.ebi.ac.uk/efo/EFO_0000319	1	0	1	
Nausea and vomiting	http://purl.obolibrary.org/obo/HP_0002017	1	0	1	
hypopituitarism	http://www.ebi.ac.uk/efo/EFO_0001380	1	0	1	
rheumatoid arthritis, type 1 diabetes mellitus, psoriasis, obsolete_progressive supranuclear palsy, celiac disease, ulcerative colitis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000685, http://purl.obolibrary.org/obo/MONDO_0005147, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.orpha.net/ORDO/Orphanet_683, http://www.ebi.ac.uk/efo/EFO_0001060, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384	1	0	1	
obsolete_common variable immunodeficiency	http://www.orpha.net/ORDO/Orphanet_1572	1	0	1	
survival time, urinary bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://purl.obolibrary.org/obo/MONDO_0004986	1	0	1	
survival time, HER2 Positive Breast Carcinoma, estrogen-receptor positive breast cancer, breast carcinoma, progesterone-receptor positive breast cancer	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000294, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0009782	1	0	1	
overall survival, thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0002892	1	0	1	
childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	1	0	1	
AQP4-IgG-negative neuromyelitis optica	http://www.ebi.ac.uk/efo/EFO_0009585	1	0	1	
carcinoma of gallbladder and extrahepatic biliary tract	http://purl.obolibrary.org/obo/MONDO_0018918	1	0	1	
obsolete_frontotemporal dementia, rheumatoid arthritis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease	http://www.orpha.net/ORDO/Orphanet_282, http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0001060, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384	1	0	1	
urinary bladder carcinoma, overall survival	http://purl.obolibrary.org/obo/MONDO_0004986, http://www.ebi.ac.uk/efo/EFO_0000638	1	0	1	
Epstein-Barr virus early antigen seropositivity	http://www.ebi.ac.uk/efo/EFO_0009338	1	0	1	
BMI-adjusted waist-hip ratio, body mass index, body height	http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004339	1	0	1	
event death, family history	http://www.ebi.ac.uk/efo/EFO_0000480, http://www.ebi.ac.uk/efo/EFO_0000493	1	0	1	
complex regional pain syndrome	http://www.ebi.ac.uk/efo/EFO_1001998	1	0	1	
Hypoglycemic coma	http://purl.obolibrary.org/obo/HP_0001325	1	0	1	
lymph node neoplasm	http://purl.obolibrary.org/obo/MONDO_0024339	1	0	1	
benign neoplasm of parathyroid gland	http://purl.obolibrary.org/obo/MONDO_0021463	1	0	1	
survival time, thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0002892	1	0	1	
response to anthracycline-based chemotherapy	http://www.ebi.ac.uk/efo/EFO_0005257	1	0	1	
Hyperventilation	http://purl.obolibrary.org/obo/HP_0002883	1	0	1	
Arteritis	http://www.ebi.ac.uk/efo/EFO_0009011	1	0	1	
laryngeal disease, throat disease	http://www.ebi.ac.uk/efo/EFO_0009673, http://www.ebi.ac.uk/efo/EFO_0009479	1	0	1	
mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	1	0	1	
multiple gestation	http://www.ebi.ac.uk/efo/EFO_0009576	1	0	1	
throat disease	http://www.ebi.ac.uk/efo/EFO_0009479	1	0	1	
Precordial pain	http://purl.obolibrary.org/obo/HP_0032141	1	0	1	
response to sevoflurane	http://www.ebi.ac.uk/efo/EFO_0021424	1	0	1	
renal carcinoma, survival time	http://www.ebi.ac.uk/efo/EFO_0002890, http://www.ebi.ac.uk/efo/EFO_0000714	1	0	1	
premature cardiac contractions	http://www.ebi.ac.uk/efo/EFO_0009275	1	0	1	
social deprivation	http://www.ebi.ac.uk/efo/EFO_0009696	1	0	1	
sarcoma, fibrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000691, http://www.ebi.ac.uk/efo/EFO_0002087	1	0	1	
rheumatoid arthritis, type 1 diabetes mellitus, psoriasis, celiac disease, obsolete_sarcoidosis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	http://www.ebi.ac.uk/efo/EFO_0000685, http://purl.obolibrary.org/obo/MONDO_0005147, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0001060, http://www.orpha.net/ORDO/Orphanet_797, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	1	0	1	
lymphoid neoplasm	http://www.ebi.ac.uk/efo/EFO_0001642	1	0	1	
early gestational weight gain	http://www.ebi.ac.uk/efo/EFO_0008437	1	0	1	
respiratory tract infectious disorder	http://purl.obolibrary.org/obo/MONDO_0024355	1	0	1	
response to trauma exposure, thalamus volume	http://www.ebi.ac.uk/efo/EFO_0008483, http://www.ebi.ac.uk/efo/EFO_0006935	1	0	1	
overall survival, TP53 Positive Breast Carcinoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_1002010	1	0	1	
survival time, breast carcinoma, triple-negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0005537	1	0	1	
Subdural hemorrhage	http://purl.obolibrary.org/obo/HP_0100309	1	0	1	
diastolic blood pressure, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0001645	1	0	1	
sleep duration, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0005271, http://www.ebi.ac.uk/efo/EFO_0001645	1	0	1	
rheumatoid arthritis, type 1 diabetes mellitus, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, obsolete_corticobasal degeneration	http://www.ebi.ac.uk/efo/EFO_0000685, http://purl.obolibrary.org/obo/MONDO_0005147, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0001060, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.orpha.net/ORDO/Orphanet_278	1	0	1	
maculopapular eruption, response to anticonvulsant	http://www.ebi.ac.uk/efo/EFO_1001253, http://purl.obolibrary.org/obo/GO_0036277	1	0	1	
meningeal neoplasm	http://www.ebi.ac.uk/efo/EFO_0003851	1	0	1	
respiratory system disease, otorhinolaryngologic disease	http://www.ebi.ac.uk/efo/EFO_0000684, http://purl.obolibrary.org/obo/MONDO_0024623	1	0	1	
age at diagnosis, Hernia of the abdominal wall	http://www.ebi.ac.uk/efo/EFO_0004918, http://purl.obolibrary.org/obo/HP_0004299	1	0	1	
rheumatoid arthritis, amyotrophic lateral sclerosis, type 1 diabetes mellitus, psoriasis, celiac disease, ulcerative colitis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000685, http://purl.obolibrary.org/obo/MONDO_0004976, http://purl.obolibrary.org/obo/MONDO_0005147, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0001060, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384	1	0	1	
secondary Parkinson disease	http://www.ebi.ac.uk/efo/EFO_1001175	1	0	1	
postoperative ventricular dysfunction	http://www.ebi.ac.uk/efo/EFO_0004889	1	0	1	
response to angiotensin-converting enzyme inhibitor, myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0005325, http://www.ebi.ac.uk/efo/EFO_0000612	1	0	1	
digestive system neoplasm	http://www.ebi.ac.uk/efo/EFO_0008549	1	0	1	
obsessive-compulsive disorder, schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004242, http://purl.obolibrary.org/obo/MONDO_0005090	1	0	1	
obsolete_congenital deformities of limbs	http://www.orpha.net/ORDO/Orphanet_294944	1	0	1	
survival time, esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0002916	1	0	1	
leukopenia, response to mycophenolic acid	http://www.ebi.ac.uk/efo/EFO_0004233, http://www.ebi.ac.uk/efo/EFO_0010054	1	0	1	
posterior wall thickness	http://www.ebi.ac.uk/efo/EFO_0009288	1	0	1	
lobular capilliary hemangioma	http://www.ebi.ac.uk/efo/EFO_0010830	1	0	1	
overall survival, gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0000178	1	0	1	
disorder of pilosebaceous unit	http://purl.obolibrary.org/obo/MONDO_0002917	1	0	1	
drug misuse, unipolar depression, alcohol drinking	http://www.ebi.ac.uk/efo/EFO_0011049, http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0004329	1	0	1	
Tae-Yang, Sasang constitutional medicine type	http://www.ebi.ac.uk/efo/EFO_0007120, http://www.ebi.ac.uk/efo/EFO_0007119	1	0	1	
Paraproteinemia	http://purl.obolibrary.org/obo/HP_0031047	1	0	1	
placental retention	http://www.ebi.ac.uk/efo/EFO_0009578	1	0	1	
Conductive hearing impairment	http://purl.obolibrary.org/obo/HP_0000405	1	0	1	
Chondrocalcinosis	http://purl.obolibrary.org/obo/HP_0000934	1	0	1	
CYP3A4 activity	http://www.ebi.ac.uk/efo/EFO_0004910	1	0	1	
gastrointestinal disease, Abnormality of the digestive system	http://www.ebi.ac.uk/efo/EFO_0010282, http://purl.obolibrary.org/obo/HP_0025031	1	0	1	
response to allogeneic hematopoietic stem cell transplant, acute graft vs. host disease	http://www.ebi.ac.uk/efo/EFO_0007044, http://www.ebi.ac.uk/efo/EFO_0004599	1	0	1	
esophageal carcinoma, overall survival	http://www.ebi.ac.uk/efo/EFO_0002916, http://www.ebi.ac.uk/efo/EFO_0000638	1	0	1	
osteoarthritis, knee, femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0004616, http://www.ebi.ac.uk/efo/EFO_0007785	1	0	1	
disorder of appendix	http://www.ebi.ac.uk/efo/EFO_0009542	1	0	1	
severe cutaneous adverse reaction	http://www.ebi.ac.uk/efo/EFO_0006346	1	0	1	
Visual loss	http://purl.obolibrary.org/obo/HP_0000572	1	0	1	
heart injury	http://www.ebi.ac.uk/efo/EFO_0009506	1	0	1	
fibula fracture, tibia fracture	http://www.ebi.ac.uk/efo/EFO_0009613, http://www.ebi.ac.uk/efo/EFO_0003944	1	0	1	
hemorrhage, complication	http://purl.obolibrary.org/obo/MP_0001914, http://www.ebi.ac.uk/efo/EFO_0009518	1	0	1	
Alzheimer disease, age at diagnosis	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0004918	1	0	1	
schizophrenia, Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005180	1	0	1	
radiculitis	http://purl.obolibrary.org/obo/MONDO_0021765	1	0	1	
response to lapatinib	http://purl.obolibrary.org/obo/GO_0036274	1	0	1	
obsolete_functional neutrophil defect	http://www.orpha.net/ORDO/Orphanet_183681	1	0	1	
response to etoposide	http://purl.obolibrary.org/obo/GO_1902521	1	0	1	
insulin resistance, body mass index	http://www.ebi.ac.uk/efo/EFO_0002614, http://www.ebi.ac.uk/efo/EFO_0004340	1	0	1	
chronic interstitial cystitis	http://www.ebi.ac.uk/efo/EFO_1000869	1	0	1	
CD4-positive T-lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0010105	1	0	1	
spinal stenosis, Sciatica	http://www.ebi.ac.uk/efo/EFO_0007490, http://purl.obolibrary.org/obo/HP_0011868	1	0	1	
lung carcinoma, schizophrenia	http://www.ebi.ac.uk/efo/EFO_0001071, http://purl.obolibrary.org/obo/MONDO_0005090	1	0	1	
diabetic ketoacidosis, type 1 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_1000897, http://purl.obolibrary.org/obo/MONDO_0005147	1	0	1	
Rubella virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0009344	1	0	1	
nerve conduction velocity	http://www.ebi.ac.uk/efo/EFO_0010069	1	0	1	
malunion fracture	http://www.ebi.ac.uk/efo/EFO_0010684	1	0	1	
liver cancer	http://purl.obolibrary.org/obo/MONDO_0002691	1	0	1	
response to BCG intravesical immunotherapy	http://www.ebi.ac.uk/efo/EFO_0011041	1	0	1	
streptococcal pharyngitis	http://www.ebi.ac.uk/efo/EFO_1002024	1	0	1	
Menorrhagia, menopause	http://purl.obolibrary.org/obo/HP_0000132, http://www.ebi.ac.uk/efo/EFO_0003922	1	0	1	
anxiety, panic disorder	http://www.ebi.ac.uk/efo/EFO_0005230, http://www.ebi.ac.uk/efo/EFO_0004262	1	0	1	
anemia (phenotype), response to mycophenolic acid	http://www.ebi.ac.uk/efo/EFO_0004272, http://www.ebi.ac.uk/efo/EFO_0010054	1	0	1	
lens disease	http://www.ebi.ac.uk/efo/EFO_0009674	1	0	1	
response to radiation, Dysphagia, mucositis	http://purl.obolibrary.org/obo/GO_0009314, http://purl.obolibrary.org/obo/HP_0002015, http://www.ebi.ac.uk/efo/EFO_1001898	1	0	1	
high content analysis of cells by molecular content	http://www.ebi.ac.uk/efo/EFO_0005398	1	0	1	
CHAOS measure	http://www.ebi.ac.uk/efo/EFO_0004779	1	0	1	
Aphasia	http://purl.obolibrary.org/obo/HP_0002381	1	0	1	
Alzheimer disease, post-traumatic stress disorder	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0001358	1	0	1	
lung disease, Abnormal thrombosis	http://www.ebi.ac.uk/efo/EFO_0003818, http://purl.obolibrary.org/obo/HP_0001977	1	0	1	
musical aptitude	http://www.ebi.ac.uk/efo/EFO_0005690	1	0	1	
response to radiation, Dysphagia, fibrosis, xerostomia, Atrophy	http://purl.obolibrary.org/obo/GO_0009314, http://purl.obolibrary.org/obo/HP_0002015, http://www.ebi.ac.uk/efo/EFO_0006890, http://www.ebi.ac.uk/efo/EFO_0009869, http://www.ebi.ac.uk/efo/EFO_1000096	1	0	1	
left ventricular mass index	http://www.ebi.ac.uk/efo/EFO_0009290	1	0	1	
response to rate control therapy	http://www.ebi.ac.uk/efo/EFO_0005768	1	0	1	
schizophrenia, response to drug	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/GO_0042493	1	0	1	
progesterone-receptor negative breast cancer, estrogen-receptor negative breast cancer, survival time, HER2 Positive Breast Carcinoma, breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0009781, http://www.ebi.ac.uk/efo/EFO_1000650, http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000294, http://www.ebi.ac.uk/efo/EFO_0000305	1	0	1	
adjustment disorder	http://purl.obolibrary.org/obo/MONDO_0003265	1	0	1	
age at onset, pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0002618	1	0	1	
pulmonary vascular congestion	http://www.ebi.ac.uk/efo/EFO_0009866	1	0	1	
petaloid toenail	http://www.ebi.ac.uk/efo/EFO_0007879	1	0	1	
systolic blood pressure, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0001645	1	0	1	
overall survival, ovarian serous carcinoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_1001516	1	0	1	
survival time, acute respiratory distress syndrome	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000637	1	0	1	
humerus fracture	http://www.ebi.ac.uk/efo/EFO_0003943	1	0	1	
APOE carrier status	http://www.ebi.ac.uk/efo/EFO_0007659	1	0	1	
Measles virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0009342	1	0	1	
Lobular Breast Carcinoma In Situ	http://www.ebi.ac.uk/efo/EFO_1000326	1	0	1	
Tinnitus, response to cranial radiation therapy	http://purl.obolibrary.org/obo/HP_0000360, http://www.ebi.ac.uk/efo/EFO_0010950	1	0	1	
number of treatments or medications taken, self-reported	http://www.ebi.ac.uk/efo/EFO_0009803	1	0	1	
overall survival, colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_1001951	1	0	1	
Alzheimer disease, coronary artery disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0001645	1	0	1	
viral encephalitis	http://www.ebi.ac.uk/efo/EFO_0007538	1	0	1	
age at diagnosis, anxiety	http://www.ebi.ac.uk/efo/EFO_0004918, http://www.ebi.ac.uk/efo/EFO_0005230	1	0	1	
Lymphadenitis	http://purl.obolibrary.org/obo/HP_0002840	1	0	1	
female genital tract fistula	http://www.ebi.ac.uk/efo/EFO_0009524	1	0	1	
anorexia nervosa, attention deficit hyperactivity disorder, autism spectrum disorder, mental or behavioural disorder, schizophrenia, mood disorder, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0004215, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004247, http://www.ebi.ac.uk/efo/EFO_0000289	1	0	1	
malignant pleural mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000770	1	0	1	
microtubule-associated protein tau	http://www.ebi.ac.uk/efo/EFO_0005816	1	0	1	
thiazide-induced hyponatremia	http://www.ebi.ac.uk/efo/EFO_0008349	1	0	1	
Tourette syndrome, unipolar depression	http://www.ebi.ac.uk/efo/EFO_0004895, http://www.ebi.ac.uk/efo/EFO_0003761	1	0	1	
abscess	http://www.ebi.ac.uk/efo/EFO_0003030	1	0	1	
burn	http://www.ebi.ac.uk/efo/EFO_0009516	1	0	1	
entropion, ectropion	http://purl.obolibrary.org/obo/MONDO_0001519, http://purl.obolibrary.org/obo/MONDO_0002043	1	0	1	
oropharynx cancer, survival time	http://www.ebi.ac.uk/efo/EFO_1001931, http://www.ebi.ac.uk/efo/EFO_0000714	1	0	1	
flatfoot	http://www.ebi.ac.uk/efo/EFO_0003874	1	0	1	
typhus	http://www.ebi.ac.uk/efo/EFO_0009117	1	0	1	
obsolete_secondary polycythemia	http://www.orpha.net/ORDO/Orphanet_98428	1	0	1	
Airway obstruction	http://purl.obolibrary.org/obo/HP_0006536	1	0	1	
response to hydrochlorothiazide, Hypokalemia	http://www.ebi.ac.uk/efo/EFO_0005202, http://purl.obolibrary.org/obo/HP_0002900	1	0	1	
photosensitivity disease	http://www.ebi.ac.uk/efo/EFO_1000752	1	0	1	
esophageal adenocarcinoma, body mass index	http://www.ebi.ac.uk/efo/EFO_0000478, http://www.ebi.ac.uk/efo/EFO_0004340	1	0	1	
survival time, multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0001378	1	0	1	
Oral leukoplakia	http://purl.obolibrary.org/obo/HP_0002745	1	0	1	
oropharynx cancer, overall survival	http://www.ebi.ac.uk/efo/EFO_1001931, http://www.ebi.ac.uk/efo/EFO_0000638	1	0	1	
uterine neoplasm	http://www.ebi.ac.uk/efo/EFO_0003859	1	0	1	
contracture	http://www.ebi.ac.uk/efo/EFO_0003899	1	0	1	
response to radiation, salivary gland disease	http://purl.obolibrary.org/obo/GO_0009314, http://www.ebi.ac.uk/efo/EFO_0008581	1	0	1	
musculoskeletal system disease, nervous system disease	http://www.ebi.ac.uk/efo/EFO_0009676, http://www.ebi.ac.uk/efo/EFO_0000618	1	0	1	
So-Yang, Sasang constitutional medicine type	http://www.ebi.ac.uk/efo/EFO_0007121, http://www.ebi.ac.uk/efo/EFO_0007119	1	0	1	
response to piromelatine	http://www.ebi.ac.uk/efo/EFO_0021422	1	0	1	
Personality disorder	http://purl.obolibrary.org/obo/HP_0012075	1	0	1	
bacterial endocarditis	http://www.ebi.ac.uk/efo/EFO_1000830	1	0	1	
response to thiopurine, liver disease	http://www.ebi.ac.uk/efo/EFO_0006317, http://www.ebi.ac.uk/efo/EFO_0001421	1	0	1	
glossitis	http://www.ebi.ac.uk/efo/EFO_1000951	1	0	1	
Torsion dystonia	http://purl.obolibrary.org/obo/HP_0001304	1	0	1	
obsolete_systemic lupus erythematosus, follicular lymphoma	http://www.ebi.ac.uk/efo/EFO_0002690, http://purl.obolibrary.org/obo/MONDO_0018906	1	0	1	
Bradycardia, response to antipsychotic drug	http://purl.obolibrary.org/obo/HP_0001662, http://purl.obolibrary.org/obo/GO_0097332	1	0	1	
obsessive-compulsive disorder, unipolar depression	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003761	1	0	1	
event free survival time	http://www.ebi.ac.uk/efo/EFO_0000482	1	0	1	
peripheral neuropathy, response to paclitaxel	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1901555	1	0	1	
renal carcinoma, overall survival	http://www.ebi.ac.uk/efo/EFO_0002890, http://www.ebi.ac.uk/efo/EFO_0000638	1	0	1	
Cleft palate, obsolete_orofacial clefting syndrome, cleft lip	http://purl.obolibrary.org/obo/HP_0000175, http://www.orpha.net/ORDO/Orphanet_139039, http://www.ebi.ac.uk/efo/EFO_0003959	1	0	1	
endophenotype	http://www.ebi.ac.uk/efo/EFO_0006988	1	0	1	
